architecture,day,krs,length,surface
Brassica_oleracea_Vansteenkiste_2014,53,0.09496870107007237,17491.4869605044,1585.6467883903051
Brassica_oleracea_Vansteenkiste_2014,54,0.09632760166304749,18073.777472628244,1633.0337596555623
Brassica_oleracea_Vansteenkiste_2014,55,0.09764955341113431,18657.620693304052,1680.4598539792737
Brassica_oleracea_Vansteenkiste_2014,56,0.09896928609596412,19244.148688865207,1728.0058051831747
Brassica_oleracea_Vansteenkiste_2014,57,0.10029371721409783,19832.27004039172,1775.5384135676818
Brassica_oleracea_Vansteenkiste_2014,58,0.10164353189989798,20424.071088607372,1823.220814783043
Brassica_oleracea_Vansteenkiste_2014,59,0.10300773252211703,21014.37891615279,1870.742962543893
Brassica_oleracea_Vansteenkiste_2014,60,0.10436678801546426,21603.461288819988,1918.0867821384036
Brassica_oleracea_Vansteenkiste_2014,61,0.10572762567889031,22191.5722245446,1965.2760375616508
Brassica_oleracea_Vansteenkiste_2014,62,0.10714102781052191,22777.84357040902,2012.2791222858227
Brassica_oleracea_Vansteenkiste_2014,63,0.10853896830788302,23363.986317282724,2059.205969013729
Brassica_oleracea_Vansteenkiste_2014,64,0.10992257022197051,23948.41712259683,2105.9245728728347
Brassica_oleracea_Vansteenkiste_2014,65,0.11131599345767114,24530.886980433534,2152.4423674008285
Brassica_oleracea_Vansteenkiste_2014,66,0.11269855809986422,25108.777226181024,2198.6308164758366
Brassica_oleracea_Vansteenkiste_2014,67,0.11408434032464487,25686.67127119754,2244.700706309438
Brassica_oleracea_Vansteenkiste_2014,68,0.11545742039634849,26260.885107620947,2290.4417817722033
Brassica_oleracea_Vansteenkiste_2014,69,0.11684356454751418,26832.882471125744,2335.984944102579
Zea_mays_1_Leitner_2010,0,0.009477817769383936,179.98969556523846,44.13029503433844
Zea_mays_1_Leitner_2010,1,0.017259749531432885,348.07823900243187,85.33717603876885
Zea_mays_1_Leitner_2010,2,0.023487823626608693,518.4658747967743,126.23283670197888
Zea_mays_1_Leitner_2010,3,0.03135942376254248,823.6083461188042,189.82111876913706
Zea_mays_1_Leitner_2010,4,0.039820623777136,1295.6106162795677,279.7853069227614
Zea_mays_1_Leitner_2010,5,0.04621069175241019,1829.4163360719876,378.8647788451523
Zea_mays_1_Leitner_2010,6,0.050508503023573965,2355.273228169229,475.4639964416824
